Slice,Count,Total Area,Average Size,%Area,Mean
2021-06-16_heat_4b-2_2,10,41.061,4.106,23.201,255
2021-06-16_heat_4b-2_3,10,36.702,3.670,20.738,255
2021-06-16_heat_4b-4_1,10,38.565,3.857,21.791,255
2021-06-16_heat_4b-4_2,9,36.464,4.052,20.604,255
2021-06-16_heat_4b-4_3,10,42.270,4.227,23.884,255
2021-06-16_heat_Col-0_1,10,38.118,3.812,21.538,255
2021-06-16_heat_Col-0_2,10,36.381,3.638,20.557,255
2021-06-16_heat_Col-0_3,9,44.876,4.986,25.356,255
2021-06-16_heat_fip-37_1,9,39.648,4.405,22.402,255
2021-06-16_heat_fip-37_2,8,40.884,5.111,23.101,255
2021-06-16_heat_fip-37_3,10,35.943,3.594,20.309,255
2021-06-16_heat_Vir-1_1,8,37.082,4.635,20.953,255
2021-06-16_heat_Vir-1_2,7,39.985,5.712,22.593,255
2021-06-16_heat_Vir-1_3,7,41.485,5.926,23.440,255
2021-06-18_150-Manitol_4b-1_1,10,59.742,5.974,33.756,255
2021-06-18_150-Manitol_4b-1_2,10,48.676,4.868,27.504,255
2021-06-18_150-Manitol_4b-1_3,10,64.359,6.436,36.365,255
2021-06-18_150-Manitol_4b-2_1,9,53.547,5.950,30.256,255
2021-06-18_150-Manitol_4b-2_2,9,66.589,7.399,37.625,255
2021-06-18_150-Manitol_4b-2_3,10,55.688,5.569,31.466,255
2021-06-18_150-Manitol_4b-4_1,9,57.174,6.353,32.305,255
2021-06-18_150-Manitol_4b-4_2,10,51.751,5.175,29.241,255
2021-06-18_150-Manitol_4b-4_3,13,37.803,2.908,21.360,255
2021-06-18_150-Manitol_Col-0_1,10,50.361,5.036,28.456,255
2021-06-18_150-Manitol_Col-0_2,15,39.749,2.650,22.459,255
2021-06-18_150-Manitol_Col-0_3,14,44.102,3.150,24.919,255
2021-06-18_150-Manitol_fip-37_1,10,42.280,4.228,23.889,255
2021-06-18_150-Manitol_fip-37_2,10,30.989,3.099,17.510,255
2021-06-18_150-Manitol_fip-37_3,10,44.111,4.411,24.924,255
2021-06-18_150-Manitol_Vir-1_1,8,25.830,3.229,14.595,255
2021-06-18_150-Manitol_Vir-1_2,9,21.462,2.385,12.127,255
2021-06-18_150-Manitol_Vir-1_3,6,25.108,4.185,14.187,255
2021-06-18_150-NaCl_4b-1_1,12,55.198,4.600,31.189,255
2021-06-18_150-NaCl_4b-1_2,11,59.122,5.375,33.406,255
2021-06-18_150-NaCl_4b-1_3,10,66.356,6.636,37.493,255
2021-06-18_150-NaCl_4b-2_1,9,63.965,7.107,36.142,255
2021-06-18_150-NaCl_4b-2_2,10,72.190,7.219,40.790,255
2021-06-18_150-NaCl_4b-2_3,10,62.722,6.272,35.440,255
2021-06-18_150-NaCl_4b-4_1,9,61.048,6.783,34.494,255
